stars,title,tags,details,link,comments,author
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}6074",【まとめ】これ知らないプログラマって損してんなって思う汎用的なツール 100超,"[""PHP"", ""JavaScript"", ""Python"", ""Ruby"", ""HTML""]","http://ja.netbeans.org/
PhpStorm
PHPやJavaScriptをはじめとしたウェブ向けのIDE。 1ファイルでphpが動く環 ...",https://qiita.com//suin/items/f570f057a0ff927b47dc,32,suin
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}5585",AtCoder に登録したら次にやること ～ これだけ解けば十分闘える！過去問精選 10 問 ～,"[""アルゴリズム"", ""algorithm"", ""AtCoder"", ""競技プログラミング"", ""新人プログラマ応援""]","ML で解いてみた
@fetburner さん
Nim
AtCoder に登録したら解くべき精選過去問 10 問を Nim で解いてみた
@Kutimoti_T さん
PHP ...",https://qiita.com//drken/items/fd4e5e3630d0f5859067,13,drken
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4636",2018年の最先端バックエンドエンジニアに必要なスキルについて考えてみました。,"[""キャリア"", ""AWS"", ""gcp""]","言語
ロードマップに記載されていた言語のうち、私は一応
Elixir
Scala
Java
.NET (C#とVB.NET)
Python
Ruby
PHP
TypeScri ...",https://qiita.com//poly_soft/items/fb649573c19b7a5c0227,18,poly_soft
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4308",Reactを使うとなぜjQueryが要らなくなるのか,"[""React"", ""jQuery""]",というか、これってサーバサイド言語（PHP とか JSP とか）で使ってきたテンプレートを、ちょっと面倒くさくしただけではないでしょうか。テンプレートと比べて何が嬉しいのでしょう。,https://qiita.com//naruto/items/fdb61bc743395f8d8faf,10,naruto
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4030",良いコードの書き方,"[""コーディング規約"", ""チーム開発"", ""プログラミング"", ""Swift"", ""Java""]","バックエンドのグローバル変数
HTMLをサーバー側で生成するタイプのWEBアプリ（PHP、Rails、SpringMVC、ASPなど）では、DBやセッションなどがグローバル変 ...",https://qiita.com//alt_yamamoto/items/25eda376e6b947208996,42,alt_yamamoto
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3872",「AWS is 何」を3行でまとめてみるよ,"[""AWS""]","Ruby, PHP, node.js, Java, Python, .Net, Docker, Go が動くPaaS。内部的にはEC2 + ELB ぽいね。",https://qiita.com//kohashi/items/1bb952313fb695f12577,12,kohashi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3804",ウェブカツ運営者が語る！エンジニアで稼ぐために大切な２０のコト,"[""新人プログラマ応援"", ""プログラミング教育"", ""プロジェクト管理"", ""マネジメント""]",稼ぎたいなら、html、CSS、jsなどフロント側言語とphp、ruby、javaなどサーバサイド言語を使って、一つのサービスを自分でまず作れるようになること。 ,https://qiita.com//kazukichi/items/7379b75fba2f90d3cf45,73,kazukichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3662",すべての新米フロントエンドエンジニアに読んでほしい50の資料,"[""フロントエンド"", ""JavaScript"", ""HTML"", ""CSS"", ""初心者""]",特にVue.jsは一昔前のjQueryやRailsやPHPのように、技術に明るくない方が書いたページが多いと感じていて、ちゃんとVueを学ぶならまずは公式を見ましょう。,https://qiita.com//suzu-4/items/ea5d802cb0ad16682ae2,2,suzu-4
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3071",PHPでデータベースに接続するときのまとめ,"[""PHP"", ""PDO"", ""データベース"", ""セキュリティ"", ""MySQL""]","PHP5.1のデフォルトは false
PHP5.2以降のデフォルトは true
この設定で，いくつかPDOの挙動に違いが表れます． バッファクエリ:全ての ...",https://qiita.com//mpyw/items/b00b72c5c95aac573b71,30,mpyw
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3032",エンジニアが情報収集とトレンドを追うのに読むと良いサイト,"[""developer"", ""operation"", ""devops""]","ow
■ teratail
カンファレンス/イベント
■ オープンソースカンファレンス
■ JJUG
■ JSUG
■ JAWS-UG
■ HTML5
■ VimConf
■ PHP",https://qiita.com//ryuichi1208/items/604a68abb91949e79ece,16,ryuichi1208
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2999",WebAPIについての説明,"[""WebAPI"", ""PHP"", ""JavaScript"", ""HTML"", ""新人プログラマ応援""]","WebAPI(サーバ)
ユーザリストの一覧
phpで作る。
簡略化の為にDBは使用しない。 users
|-api
|  |-users.php
|-ind ...",https://qiita.com//busyoumono99/items/9b5ffd35dd521bafce47,5,busyoumono99
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2846",2017年のフロントエンドエンジニアならこの程度は知ってて当然だよな？,"[""JavaScript"", ""フロントエンド"", ""エンジニア""]","トランスパイラ
要するにPHP7とかPHP8で書いたソースをPHP5に変換するってやつですよ。
Babel
ES6で書いたJavaScri ...",https://qiita.com//rana_kualu/items/cad8dbbe5f5a1f1b3ba1,11,rana_kualu
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2804",1時間で出来るWordPress環境構築(※永久無料・・・だった)【※2020/7/1より約300円/月が有料になります】,"[""WordPress"", ""GoogleCloudPlatform""]","dpress/conf/nginx-app.confにclient_max_body_size 128m;を追記(既に記載がある場合は修正)
/opt/bitnami/php ...",https://qiita.com//ulwlu/items/dbb0db5cf7099b7a7cc4,161,ulwlu
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2669",コーディングをするときに鼻血がでるほど便利なwebツールリスト,"[""tool"", ""Web"", ""coding"", ""正規表現"", ""naming""]","JSON
PHP Code
PHP Serialized
XML
YAML
JsonPathによるスクレイピングができます。
JSONSelectによるスク ...",https://qiita.com//isuke/items/7fcc5eb0b985005b7b7c,19,isuke
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2622",数時間で完全理解！わりとゴツいKubernetesハンズオン！！,"[""kubernetes"", ""AWS"", ""GoogleCloudPlatform"", ""eks"", ""GKE""]","eplicaSetが管理下のPodを検索するときに使う
app: guestbook
tier: frontend
spec:
containers:
- name: php ...",https://qiita.com//Kta-M/items/ce475c0063d3d3f36d5d,12,Kta-M
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2557",npm とか bower とか一体何なんだよ！Javascript 界隈の文脈を理解しよう,"[""JavaScript"", ""Node.js"", ""CommonJS"", ""browserify""]",実際のサーバーサイドの開発に ruby を使おうが php を使おうが、bower という node.js で書かれたプログラムを実行するために、node.js という処理系 ...,https://qiita.com//megane42/items/2ab6ffd866c3f2fda066,5,megane42
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2556",4ステップで作成する、DB論理設計の手順とチェックポイントまとめ,"[""oracle"", ""MySQL"", ""SQL"", ""Ruby"", ""PHP""]","はじめに
「達人に学ぶDB設計」、「SQLアンチパターン」を読んだのでDB設計をする流れとその過程でのチェックポイントをまとめてみました。
今回は本に載っているものの中でも特に重要そうな部分に絞...",https://qiita.com//nishina555/items/a79ece1b54faf7240fac,13,nishina555
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2440",VSCode に必ず入れておきたい拡張機能,"[""VSCode"", ""VisualStudioCode"", ""新人プログラマ応援"", ""初期設定""]","普段使用しているエディタはPhpStormですが、PHP以外を書くときはVSCodeはとても便利なので重宝しています。
私が個人的におすすめする拡張機能を紹介します。 サポー ...",https://qiita.com//ucan-lab/items/e85931bf8276da43cc97,7,ucan-lab
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2393",Javaを使うなら知っておきたい技術、フレームワーク、ライブラリ、ツールまとめ,"[""ツール"", ""ライブラリ"", ""Java""]","Mustache.java
Java以外にRuby, JavaScript, Python, PHP, Go, Scala, node.js他多数の言語で使用可能なテンプレー ...",https://qiita.com//disc99/items/727b51dbe737602a5c91,17,disc99
