stars,title,tags,details,link,comments,author
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}10968",Markdown記法 チートシート,"[""Qiita"", ""Markdown""]","Code - コードの挿入
たとえば、Rubyで記述したコードをファイル名「qiita.rb」として投稿したいときは、 バッククオート を使用して以下のように投稿するとシンタ ...",https://qiita.com//Qiita/items/c686397e4a0f4f11683d,193,Qiita
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}8823",プログラミングでよく使う英単語のまとめ【随時更新】,"[""プログラミング"", ""英語"", ""命名規則"", ""English""]","public string Name { get; private set; } = 0;
Ruby は言語仕様としてアクセサ (attr_accessor) を簡単に定義できる。",https://qiita.com//Ted-HM/items/7dde25dcffae4cdc7923,40,Ted-HM
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}8118",ペアプログラミングして気がついた新人プログラマの成長を阻害する悪習,"[""プログラミング"", ""Perl"", ""Ruby"", ""JavaScript""]","最近、あまりプログラミングが得意でない人のサポートをする形で、長い時間にわたってペアプログラミングを行っている。そのなかで、気がついた悪い習慣と成長するための良い習慣というものをまとめてみる。
...",https://qiita.com//hirokidaichi/items/27c757d92b6915e8ecf7,28,hirokidaichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}6579",非デザイナーエンジニアが一人でWebサービスを作るときに便利なツール32選,"[""Bootstrap"", ""Rails"", ""Heroku"", ""CSS"", ""Ruby""]","rticles/delayed-job
Redis&Resque
https://devcenter.heroku.com/articles/queuing-ruby ...",https://qiita.com//okappy/items/119e31cae9aa9bd9da6d,19,okappy
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}6074",【まとめ】これ知らないプログラマって損してんなって思う汎用的なツール 100超,"[""PHP"", ""JavaScript"", ""Python"", ""Ruby"", ""HTML""]","Unit
使えるテストフレームワークがこれしかない…
Phing
php のビルドツール，テスト環境や本番などの環境ごとのブートストラップ指定や，結合テストの設定に
Ruby ...",https://qiita.com//suin/items/f570f057a0ff927b47dc,32,suin
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}5585",AtCoder に登録したら次にやること ～ これだけ解けば十分闘える！過去問精選 10 問 ～,"[""アルゴリズム"", ""algorithm"", ""AtCoder"", ""競技プログラミング"", ""新人プログラマ応援""]","un さん
Common Lisp
AtCoder に登録したら解くべき精選過去問 10 問を Common Lisp で解いてみた
@fireflower0 さん
Ruby ...",https://qiita.com//drken/items/fd4e5e3630d0f5859067,13,drken
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}5296",新人プログラマに知っておいてもらいたい人類がオブジェクト指向を手に入れるまでの軌跡,"[""オブジェクト指向"", ""Ruby"", ""JavaScript"", ""Perl"", ""Objective-C""]","rubyのmoduleやそのinclude,prepend、特異メソッド、特異クラスなどは
まさにその例だ。 たとえば、rubyのObject#sendがそ ...",https://qiita.com//hirokidaichi/items/591ad96ab12938878fe1,16,hirokidaichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}5244",翻訳: WebAPI 設計のベストプラクティス,"[""api"", ""rest"", ""設計"", ""翻訳"", ""WebAPI""]",Java や C# であればキャメルケースで、Python や Ruby であればスネークケースといった感じです。 $ curl https://api.github.com ...,https://qiita.com//mserizawa/items/b833e407d89abd21ee72,19,mserizawa
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4816",もう保守されない画面遷移図は嫌なので、UI Flow図を簡単にマークダウンぽく書くエディタ作った,"[""Electron"", ""uiflow"", ""JavaScript"", ""Graphviz""]",これはRuby on Railsを生み出したことで有名な37signalsのブログで紹介された技法だ。,https://qiita.com//hirokidaichi/items/ff54a968bdd7bcc50d42,34,hirokidaichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4781",開設後３週間で収益１０万円を得た個人開発サイトでやったことの全部を公開する,"[""個人開発"", ""Ruby"", ""JavaScript"", ""AWS"", ""Heroku""]","開設して３週間ほどで収益１０万円を個人開発サイトから得たので、そこでやったことを全部ここに公開する。
世の中には＊＊億ドルのバリュエーションを獲得したスゲー起業家の話か、個人開発サイトを立ち上げ...",https://qiita.com//jabba/items/1a49e860a09a613b09d4,48,jabba
